Second: [1s] | Ask: 1.15603, Bid: 1.15601
Second: [2s] | Ask: 1.15603, Bid: 1.15601
Second: [3s] | Ask: 1.15603, Bid: 1.15601
Second: [4s] | Ask: 1.15604, Bid: 1.15602
Second: [5s] | Ask: 1.15604, Bid: 1.15602
Second: [6s] | Ask: 1.15604, Bid: 1.15602
Second: [7s] | Ask: 1.15605, Bid: 1.15603
Second: [8s] | Ask: 1.15606, Bid: 1.15604
Second: [9s] | Ask: 1.15606, Bid: 1.15604
Second: [10s] | Ask: 1.15612, Bid: 1.1561
Second: [11s] | Ask: 1.15612, Bid: 1.1561
Second: [12s] | Ask: 1.15606, Bid: 1.15604
Second: [13s] | Ask: 1.15607, Bid: 1.15605
Second: [14s] | Ask: 1.15607, Bid: 1.15605
Second: [15s] | Ask: 1.15607, Bid: 1.15605
Second: [16s] | Ask: 1.15607, Bid: 1.15605
Second: [17s] | Ask: 1.15607, Bid: 1.15605
Second: [18s] | Ask: 1.15613, Bid: 1.15611
Second: [19s] | Ask: 1.15613, Bid: 1.15611
Second: [20s] | Ask: 1.15613, Bid: 1.15611
Second: [21s] | Ask: 1.15613, Bid: 1.15611
Second: [22s] | Ask: 1.15613, Bid: 1.15611
Second: [23s] | Ask: 1.1561, Bid: 1.15608
Second: [24s] | Ask: 1.15608, Bid: 1.15606
Second: [25s] | Ask: 1.15612, Bid: 1.1561
Second: [26s] | Ask: 1.1561, Bid: 1.15608
Second: [27s] | Ask: 1.15607, Bid: 1.15605
Second: [28s] | Ask: 1.15607, Bid: 1.15605
Second: [29s] | Ask: 1.15607, Bid: 1.15605
Second: [30s] | Ask: 1.15607, Bid: 1.15605
Second: [31s] | Ask: 1.1561, Bid: 1.15608
Second: [32s] | Ask: 1.1561, Bid: 1.15608
Second: [33s] | Ask: 1.15613, Bid: 1.15611
Second: [34s] | Ask: 1.15613, Bid: 1.15611
Second: [35s] | Ask: 1.15605, Bid: 1.15603
Second: [36s] | Ask: 1.15602, Bid: 1.156
Second: [37s] | Ask: 1.15602, Bid: 1.156
Second: [38s] | Ask: 1.15602, Bid: 1.156
Second: [39s] | Ask: 1.15602, Bid: 1.156
Second: [40s] | Ask: 1.15602, Bid: 1.156
Second: [41s] | Ask: 1.15602, Bid: 1.156
Second: [42s] | Ask: 1.15602, Bid: 1.156
Second: [43s] | Ask: 1.15602, Bid: 1.156
Second: [44s] | Ask: 1.15602, Bid: 1.156
Second: [45s] | Ask: 1.15602, Bid: 1.156
Second: [46s] | Ask: 1.15602, Bid: 1.156
Second: [47s] | Ask: 1.15602, Bid: 1.156
Second: [48s] | Ask: 1.15602, Bid: 1.156
Second: [49s] | Ask: 1.15602, Bid: 1.156
Second: [50s] | Ask: 1.15602, Bid: 1.156
Second: [51s] | Ask: 1.15602, Bid: 1.156
Second: [52s] | Ask: 1.15602, Bid: 1.156
Second: [53s] | Ask: 1.15602, Bid: 1.156
Second: [54s] | Ask: 1.15602, Bid: 1.156
Second: [55s] | Ask: 1.15602, Bid: 1.156
Second: [56s] | Ask: 1.15602, Bid: 1.156
Second: [57s] | Ask: 1.15602, Bid: 1.156
Second: [58s] | Ask: 1.15602, Bid: 1.156
Second: [59s] | Ask: 1.15602, Bid: 1.156

RESULTADO: SHORT


------------------------------------------------
Second: [1s] | Ask: 1.15597, Bid: 1.15595
Second: [2s] | Ask: 1.15597, Bid: 1.15595
Second: [3s] | Ask: 1.15597, Bid: 1.15595
Second: [4s] | Ask: 1.15597, Bid: 1.15595
Second: [5s] | Ask: 1.15597, Bid: 1.15595
Second: [6s] | Ask: 1.15603, Bid: 1.15601
Second: [7s] | Ask: 1.15603, Bid: 1.15601
Second: [8s] | Ask: 1.15603, Bid: 1.15601
Second: [9s] | Ask: 1.15603, Bid: 1.15601
Second: [10s] | Ask: 1.15603, Bid: 1.15601
Second: [11s] | Ask: 1.15603, Bid: 1.15601
Second: [12s] | Ask: 1.15603, Bid: 1.15601
Second: [13s] | Ask: 1.15603, Bid: 1.15601
Second: [14s] | Ask: 1.15603, Bid: 1.15601
Second: [15s] | Ask: 1.15603, Bid: 1.15601
Second: [16s] | Ask: 1.15603, Bid: 1.15601
Second: [17s] | Ask: 1.15603, Bid: 1.15601
Second: [18s] | Ask: 1.15603, Bid: 1.15601
Second: [19s] | Ask: 1.15603, Bid: 1.15601
Second: [20s] | Ask: 1.15603, Bid: 1.15601
Second: [21s] | Ask: 1.15603, Bid: 1.15601
Second: [22s] | Ask: 1.15603, Bid: 1.15601
Second: [23s] | Ask: 1.15603, Bid: 1.15601
Second: [24s] | Ask: 1.15603, Bid: 1.15601
Second: [25s] | Ask: 1.15603, Bid: 1.15601
Second: [26s] | Ask: 1.15603, Bid: 1.15601
Second: [27s] | Ask: 1.15604, Bid: 1.15602
